Date,Precipitacion,Temperatura_Minima,Temperatura_Maxima,Int._del_Viento
2018-01-21,0,14,"31,4","4,1"
2018-01-22,0,"15,1","30,9","3,4"
2018-01-23,0,0,32,"3,8"
2018-01-24,"4,2","14,7","23,8","5,7"
2018-01-25,"11,2","15,5","21,2","5,3"
2018-01-26,"0,8","16,4","30,8",4
2018-01-27,"4,4","16,4",27,"5,2"
2018-01-28,0,"13,5","31,1","5,5"
2018-01-29,0,16,"33,4","4,5"
2018-01-30,0,18,"30,6",6
2018-01-31,0,"18,6","28,9","3,9"
2018-02-01,0,"14,8","32,2","4,2"
2018-02-02,0,16,"33,7","5,5"
2018-02-03,0,"18,6","35,8",5
2018-02-04,0,"19,9","36,7","5,6"
2018-02-05,0,"20,3","36,6","4,4"
2018-02-06,"0,9","19,4","36,9","9,2"
2018-02-07,"5,2","18,9","31,3","3,1"
2018-02-08,11,"17,5",32,"3,8"
2018-02-09,"0,8","13,5","24,3","4,1"
2018-02-10,0,"9,9","25,2","4,5"
2018-02-11,0,"7,8","17,5","4,1"
2018-02-12,0,"2,3","28,5","2,9"
2018-02-13,0,"15,7","31,2","4,2"
2018-02-14,0,"16,2","33,3","5,4"
2018-02-15,0,"17,5","34,5","4,6"
2018-02-16,0,21,"35,2","6,4"
2018-02-17,0,19,"34,4","2,2"
2018-02-18,"0,5","18,2","33,8","6,4"
2018-02-19,1,"16,3","28,7","3,7"
2018-02-20,4,"11,7","26,2","8,9"
2018-02-21,"1,3","9,4","29,4","4,2"
2018-02-22,0,0,"32,9",6
2018-02-23,"5,3","17,6","31,7","5,5"
2018-02-24,"11,9","15,5","19,9","1,8"
2018-02-25,"3,9",14,"25,6","2,2"
2018-02-26,0,"13,7","29,6","3,1"
2018-02-27,0,"15,6","25,3","2,9"
2018-02-28,0,"13,9",29,"2,7"
2018-03-01,0,"14,5","31,6","3,1"
2018-03-02,0,"13,7","33,2","2,6"
2018-03-03,0,"16,4","34,1","3,9"
2018-03-04,0,"15,9","33,1","4,8"
2018-03-05,"0,3",15,"25,7","5,9"
2018-03-06,0,"8,3","28,5","4,4"
2018-03-07,0,13,32,"5,4"
2018-03-08,0,"17,3","32,6","4,8"
2018-03-09,0,"19,4",35,"4,5"
2018-03-10,0,"16,3","25,9","6,6"
2018-03-11,0,"6,4",26,"3,7"
2018-03-12,0,"7,3","31,2","5,3"
2018-03-13,0,"8,4","25,1",6
2018-03-14,0,"10,1","31,6","7,8"
2018-03-15,0,"3,2","25,7","5,2"
2018-03-16,0,"12,7","33,8","4,2"
2018-03-17,0,"15,2","32,8","4,1"
2018-03-18,0,"7,4","22,7","8,7"
2018-03-19,0,"6,7","29,5","3,1"
2018-03-20,0,"9,8","20,9","5,7"
2018-03-21,0,"7,2","30,1","4,7"
